# steps, mse
1.990000000000000000e+02,2.101654529571533203e+00
1.386630000000000000e+05,2.921746810898184776e-03
2.773020000000000000e+05,1.882638549432158470e-03
4.148080000000000000e+05,2.154202666133642197e-03
5.520670000000000000e+05,1.222746213898062706e-03
6.890480000000000000e+05,1.613077009096741676e-03
8.267840000000000000e+05,1.545094302855432034e-03
9.656440000000000000e+05,1.439798972569406033e-03
1.103266000000000000e+06,1.315688015893101692e-03
1.241278000000000000e+06,2.037784317508339882e-03
1.378730000000000000e+06,2.204250777140259743e-03
1.517063000000000000e+06,2.534083323553204536e-03
1.655681000000000000e+06,2.204297576099634171e-03
1.793028000000000000e+06,2.689706627279520035e-03
1.931994000000000000e+06,1.473316457122564316e-03
2.070721000000000000e+06,1.177869620732963085e-03
2.207651000000000000e+06,1.442797598429024220e-03
2.345597000000000000e+06,1.434913836419582367e-03
2.483439000000000000e+06,1.851905952207744122e-03
2.620558000000000000e+06,1.493632327765226364e-03
2.759079000000000000e+06,2.492396393790841103e-03
2.896660000000000000e+06,1.358078327029943466e-03
3.033913000000000000e+06,1.287927618250250816e-03
3.171202000000000000e+06,1.853497000411152840e-03
3.309329000000000000e+06,2.161133103072643280e-03
3.448518000000000000e+06,1.586041529662907124e-03
3.586565000000000000e+06,1.953162951394915581e-03
3.726127000000000000e+06,1.933976775035262108e-03
3.863166000000000000e+06,1.085506868548691273e-03
4.003230000000000000e+06,1.932772807776927948e-03
4.141760000000000000e+06,1.833165413700044155e-03
4.279425000000000000e+06,1.813539769500494003e-03
4.415455000000000000e+06,1.526558538898825645e-03
4.553436000000000000e+06,1.613148255273699760e-03
4.599792000000000000e+06,2.245719078928232193e-03
