# steps, mse
6.010000000000000000e+02,2.359217643737792969e+00
9.458800000000000000e+04,5.275768786668777466e-02
1.895950000000000000e+05,3.953130915760993958e-02
2.847310000000000000e+05,3.096772357821464539e-02
3.798920000000000000e+05,3.450761362910270691e-02
4.763430000000000000e+05,3.477455303072929382e-02
5.708230000000000000e+05,3.278408944606781006e-02
6.669830000000000000e+05,3.236626833677291870e-02
7.624120000000000000e+05,3.346754983067512512e-02
8.567770000000000000e+05,3.153394162654876709e-02
9.512930000000000000e+05,3.059937246143817902e-02
1.045762000000000000e+06,3.047659434378147125e-02
1.140604000000000000e+06,3.178907185792922974e-02
1.234404000000000000e+06,3.345671668648719788e-02
1.329311000000000000e+06,3.027632832527160645e-02
1.424195000000000000e+06,3.556209430098533630e-02
1.519776000000000000e+06,3.327204659581184387e-02
1.614069000000000000e+06,3.171418607234954834e-02
1.708517000000000000e+06,2.943154796957969666e-02
1.803650000000000000e+06,3.098581172525882721e-02
1.898284000000000000e+06,3.107504919171333313e-02
1.994217000000000000e+06,3.163412213325500488e-02
2.089998000000000000e+06,3.390469402074813843e-02
2.185098000000000000e+06,3.505474701523780823e-02
2.278852000000000000e+06,2.903313376009464264e-02
2.374311000000000000e+06,3.060555830597877502e-02
2.468951000000000000e+06,3.073457442224025726e-02
2.564016000000000000e+06,3.121644817292690277e-02
2.658177000000000000e+06,2.965029329061508179e-02
2.753516000000000000e+06,2.973886765539646149e-02
2.848143000000000000e+06,2.919168770313262939e-02
2.942394000000000000e+06,3.441397845745086670e-02
3.038859000000000000e+06,3.271616250276565552e-02
3.134816000000000000e+06,3.331605345010757446e-02
3.166234000000000000e+06,2.749191410839557648e-02
