# steps, mse
2.820000000000000000e+02,2.785183429718017578e+00
4.391900000000000000e+04,2.250317856669425964e-02
8.751900000000000000e+04,6.452246569097042084e-03
1.311330000000000000e+05,3.503414569422602654e-03
1.743690000000000000e+05,1.873624511063098907e-03
2.181280000000000000e+05,2.238259650766849518e-03
2.615790000000000000e+05,2.074341988191008568e-03
3.056420000000000000e+05,1.497240620665252209e-03
3.491640000000000000e+05,1.635537249967455864e-03
3.935930000000000000e+05,2.138021867722272873e-03
4.371540000000000000e+05,2.324604894965887070e-03
4.802640000000000000e+05,1.945585943758487701e-03
5.243640000000000000e+05,1.850995118729770184e-03
5.683270000000000000e+05,1.730016898363828659e-03
6.123580000000000000e+05,2.089730696752667427e-03
6.557930000000000000e+05,1.333997352048754692e-03
6.996880000000000000e+05,1.662146183662116528e-03
7.435280000000000000e+05,1.913345418870449066e-03
7.863120000000000000e+05,1.816609757952392101e-03
8.310090000000000000e+05,2.302186097949743271e-03
8.750190000000000000e+05,1.617251662537455559e-03
9.189830000000000000e+05,1.785474829375743866e-03
9.627060000000000000e+05,1.304553728550672531e-02
1.006105000000000000e+06,1.626747543923556805e-03
1.049917000000000000e+06,1.764311804436147213e-03
1.093535000000000000e+06,1.830756431445479393e-03
1.136738000000000000e+06,1.532032270915806293e-03
1.180724000000000000e+06,2.799697453156113625e-03
1.224097000000000000e+06,2.065046224743127823e-03
1.268164000000000000e+06,3.189395647495985031e-03
1.311465000000000000e+06,2.709396649152040482e-03
1.354846000000000000e+06,1.987089170143008232e-03
1.399922000000000000e+06,2.098578726872801781e-03
1.443461000000000000e+06,1.959172310307621956e-03
1.458348000000000000e+06,2.225232077762484550e-03
