# steps, mse
2.220000000000000000e+02,2.007195711135864258e+00
4.431700000000000000e+04,1.469372026622295380e-02
8.872400000000000000e+04,4.399048630148172379e-03
1.322230000000000000e+05,2.721065888181328773e-03
1.768660000000000000e+05,1.725881709717214108e-03
2.203490000000000000e+05,1.035639550536870956e-02
2.657680000000000000e+05,1.535086892545223236e-03
3.097530000000000000e+05,1.281957840546965599e-03
3.532520000000000000e+05,1.243237173184752464e-03
3.964620000000000000e+05,1.803592778742313385e-03
4.405970000000000000e+05,2.000686479732394218e-03
4.846080000000000000e+05,2.071424853056669235e-03
5.286110000000000000e+05,2.296971622854471207e-03
5.718460000000000000e+05,1.577562885358929634e-03
6.162650000000000000e+05,2.237665234133601189e-03
6.607670000000000000e+05,2.012038370594382286e-03
7.056720000000000000e+05,1.485479180701076984e-03
7.502210000000000000e+05,1.252251793630421162e-03
7.950780000000000000e+05,2.838251413777470589e-03
8.390600000000000000e+05,1.579106552526354790e-03
8.840340000000000000e+05,2.059834310784935951e-03
9.283040000000000000e+05,2.778198104351758957e-03
9.724960000000000000e+05,1.608423655852675438e-03
1.017248000000000000e+06,1.529806875623762608e-03
1.060905000000000000e+06,1.686683739535510540e-03
1.104111000000000000e+06,1.847530482336878777e-03
1.147668000000000000e+06,1.208584639243781567e-03
1.192112000000000000e+06,1.733313896693289280e-03
1.237095000000000000e+06,1.510814530774950981e-03
1.281622000000000000e+06,1.133490703068673611e-03
1.325568000000000000e+06,1.110608456656336784e-03
1.369837000000000000e+06,1.672711339779198170e-03
1.413982000000000000e+06,7.945063523948192596e-03
1.458101000000000000e+06,1.993530895560979843e-03
1.472225000000000000e+06,7.602400146424770355e-04
