# steps, mse
4.670000000000000000e+02,3.806038796901702881e-01
4.100900000000000000e+04,3.138808067888021469e-03
8.277800000000000000e+04,1.759070670232176781e-03
1.237930000000000000e+05,1.239340985193848610e-03
1.650600000000000000e+05,9.979631286114454269e-04
2.062690000000000000e+05,8.413363248109817505e-04
2.477690000000000000e+05,9.329244494438171387e-04
2.891820000000000000e+05,1.021286239847540855e-03
3.306390000000000000e+05,1.311366213485598564e-03
3.720200000000000000e+05,8.670816314406692982e-04
4.137710000000000000e+05,4.884608788415789604e-04
4.552750000000000000e+05,1.875018933787941933e-04
4.960940000000000000e+05,9.492498356848955154e-04
5.368040000000000000e+05,2.798606874421238899e-04
5.782340000000000000e+05,5.023960256949067116e-04
6.198920000000000000e+05,5.351697909645736217e-04
6.611860000000000000e+05,2.456385409459471703e-04
7.023810000000000000e+05,1.572563924128189683e-04
7.435880000000000000e+05,2.188461803598329425e-04
7.853870000000000000e+05,1.001813681796193123e-03
8.268730000000000000e+05,1.845557271735742688e-04
8.682370000000000000e+05,1.848880347097292542e-04
9.100810000000000000e+05,1.095795960281975567e-04
9.515840000000000000e+05,1.230100169777870178e-04
9.929960000000000000e+05,1.002611170406453311e-04
1.034144000000000000e+06,9.014715760713443160e-05
1.075336000000000000e+06,1.701627334114164114e-04
1.116606000000000000e+06,7.850326801417395473e-05
1.158019000000000000e+06,7.697873661527410150e-05
1.198693000000000000e+06,5.166643531993031502e-04
1.240358000000000000e+06,7.744375761831179261e-05
1.281881000000000000e+06,1.450489507988095284e-04
1.323650000000000000e+06,8.668824011692777276e-05
1.365420000000000000e+06,2.577094128355383873e-04
1.379142000000000000e+06,1.989457523450255394e-04
1.379671000000000000e+06,1.054680906236171722e-04
1.462675000000000000e+06,8.428699948126450181e-05
1.545495000000000000e+06,9.201368811773136258e-05
1.628085000000000000e+06,5.852514877915382385e-04
1.710826000000000000e+06,1.381143694743514061e-03
1.793527000000000000e+06,6.378581019816920161e-05
1.875864000000000000e+06,4.792743420694023371e-04
1.958892000000000000e+06,4.921342042507603765e-05
2.041494000000000000e+06,4.036559403175488114e-05
2.124499000000000000e+06,7.812579860910773277e-05
2.207343000000000000e+06,2.888646486098878086e-05
2.290116000000000000e+06,2.156755908799823374e-05
2.372936000000000000e+06,1.570338463352527469e-05
2.455438000000000000e+06,2.265486909891478717e-05
2.538049000000000000e+06,1.629243342904374003e-04
2.621348000000000000e+06,3.035555528185795993e-05
2.704103000000000000e+06,2.981829493364784867e-05
2.787242000000000000e+06,3.734926867764443159e-04
2.869804000000000000e+06,1.328835514868842438e-05
2.952612000000000000e+06,3.690262674354016781e-04
3.036047000000000000e+06,1.330543273070361465e-05
3.119058000000000000e+06,1.382797054247930646e-04
3.201434000000000000e+06,1.756295569066423923e-05
3.284323000000000000e+06,2.353319578105583787e-04
3.366634000000000000e+06,1.704396345303393900e-05
3.449017000000000000e+06,1.398636231897398829e-05
3.531645000000000000e+06,7.710199497523717582e-06
3.614065000000000000e+06,1.191039791592629626e-05
3.697222000000000000e+06,2.218024892499670386e-04
3.779599000000000000e+06,9.454703103983774781e-06
3.862436000000000000e+06,1.414892758475616574e-04
3.946800000000000000e+06,1.025229357765056193e-05
4.029298000000000000e+06,1.084097384591586888e-04
4.112009000000000000e+06,3.799334808718413115e-04
4.139362000000000000e+06,3.602788410717039369e-06
