# steps, mse
2.370000000000000000e+02,3.991636931896209717e-01
2.746400000000000000e+04,1.408815267495810986e-03
5.479200000000000000e+04,1.079322653822600842e-03
8.223300000000000000e+04,6.493900436908006668e-04
1.094890000000000000e+05,6.071252282708883286e-04
1.371940000000000000e+05,7.404015050269663334e-04
1.643960000000000000e+05,3.964446368627250195e-04
1.925190000000000000e+05,3.518596349749714136e-04
2.202500000000000000e+05,3.344271972309798002e-04
2.469340000000000000e+05,1.993637561099603772e-04
2.739080000000000000e+05,2.202364994445815682e-04
3.014840000000000000e+05,1.909818092826753855e-04
3.292230000000000000e+05,1.386920775985345244e-04
3.568580000000000000e+05,1.796929427655413747e-04
3.848820000000000000e+05,1.892093714559450746e-04
4.126500000000000000e+05,7.536906923633068800e-05
4.393920000000000000e+05,6.212812877492979169e-05
4.670050000000000000e+05,6.816566019551828504e-05
4.946620000000000000e+05,1.869780680863186717e-04
5.232490000000000000e+05,6.455305265262722969e-05
5.506570000000000000e+05,8.653220720589160919e-05
5.788830000000000000e+05,7.747716881567612290e-05
6.065250000000000000e+05,6.568547541974112391e-05
6.341890000000000000e+05,4.283983071218244731e-05
6.614180000000000000e+05,5.241030157776549459e-05
6.889370000000000000e+05,7.507792906835675240e-05
7.164110000000000000e+05,5.811315713799558580e-05
7.446510000000000000e+05,4.748021456180140376e-05
7.734720000000000000e+05,8.091393829090520740e-05
8.006840000000000000e+05,4.372961484477855265e-05
8.284840000000000000e+05,2.943523941212333739e-05
8.560830000000000000e+05,3.883693352690897882e-05
8.833120000000000000e+05,4.827245356864295900e-05
9.109680000000000000e+05,8.881414396455511451e-05
9.202580000000000000e+05,6.068416041671298444e-05
9.205820000000000000e+05,3.802501305472105742e-05
9.751440000000000000e+05,3.437465784372761846e-05
1.030289000000000000e+06,4.410456167533993721e-04
1.084617000000000000e+06,4.125918349018320441e-05
1.138860000000000000e+06,6.027792187524028122e-05
1.195382000000000000e+06,1.088710541807813570e-05
1.249766000000000000e+06,1.875716952781658620e-05
1.304618000000000000e+06,1.931672522914595902e-05
1.360751000000000000e+06,4.771231397171504796e-05
1.416178000000000000e+06,1.077646084013395011e-05
1.470691000000000000e+06,3.020586336788255721e-05
1.527362000000000000e+06,1.042222629621392116e-05
1.582966000000000000e+06,5.116236934554763138e-05
1.638208000000000000e+06,9.504627996648196131e-06
1.693644000000000000e+06,1.274296209885505959e-05
1.748521000000000000e+06,6.509299055323936045e-06
1.803856000000000000e+06,2.170380321331322193e-05
1.859159000000000000e+06,7.810990064172074199e-05
1.914571000000000000e+06,1.769871014403179288e-04
1.970630000000000000e+06,5.437276558950543404e-05
2.025767000000000000e+06,1.681814501353073865e-05
2.081792000000000000e+06,1.859591975517105311e-05
2.136556000000000000e+06,6.838144145149271935e-06
2.191675000000000000e+06,1.483344567532185465e-05
2.246833000000000000e+06,6.392133855115389451e-06
2.301837000000000000e+06,1.170112682302715257e-05
2.357224000000000000e+06,1.851196975621860474e-05
2.411435000000000000e+06,2.324214801774360240e-05
2.466126000000000000e+06,2.038072489085607231e-05
2.521388000000000000e+06,7.454800197592703626e-06
2.577356000000000000e+06,1.048832564265467227e-05
2.632796000000000000e+06,7.720857865933794528e-06
2.687664000000000000e+06,7.327902039833134040e-06
2.742827000000000000e+06,9.135695108852814883e-06
2.760602000000000000e+06,6.730204859195509925e-06
2.760895000000000000e+06,3.677789891298743896e-06
2.815758000000000000e+06,4.327266651671379805e-06
2.870719000000000000e+06,4.651211384043563157e-06
2.926273000000000000e+06,4.679152880271431059e-06
2.981540000000000000e+06,6.280322850216180086e-06
3.037367000000000000e+06,1.780385355232283473e-05
3.093311000000000000e+06,6.220636714715510607e-05
3.148396000000000000e+06,2.482623327523469925e-03
3.202846000000000000e+06,6.296568699326599017e-06
3.258533000000000000e+06,3.101920356129994616e-06
3.313366000000000000e+06,4.580272434395737946e-05
3.368356000000000000e+06,1.564329795655794442e-05
3.423091000000000000e+06,6.895430487929843366e-06
3.478503000000000000e+06,1.627802885195706040e-05
3.532984000000000000e+06,5.407133357948623598e-06
3.588873000000000000e+06,5.432597845356212929e-06
3.643951000000000000e+06,1.399119537381920964e-05
3.698312000000000000e+06,3.103071321675088257e-06
3.753816000000000000e+06,6.061121439415728673e-06
3.808978000000000000e+06,3.571896286302944645e-06
3.863489000000000000e+06,2.192982947235577740e-06
3.919125000000000000e+06,3.840587396553019062e-06
3.973812000000000000e+06,1.096830692404182628e-05
4.028340000000000000e+06,9.004080311569850892e-06
4.082905000000000000e+06,4.014498244941933081e-06
4.138107000000000000e+06,4.188555976725183427e-06
4.193476000000000000e+06,3.996361556346528232e-06
4.249823000000000000e+06,6.145368843135656789e-06
4.304846000000000000e+06,2.853609885278274305e-06
4.359532000000000000e+06,3.398234639462316409e-06
4.414545000000000000e+06,7.152519174269400537e-06
4.470869000000000000e+06,9.626254177419468760e-05
4.526460000000000000e+06,1.016021360555896536e-05
4.581917000000000000e+06,5.469319876283407211e-05
4.600255000000000000e+06,6.284895789576694369e-06
