# steps, mse
5.880000000000000000e+02,2.281053781509399414e+00
9.594300000000000000e+04,5.068081617355346680e-02
1.910920000000000000e+05,3.881828114390373230e-02
2.869200000000000000e+05,3.634871169924736023e-02
3.819210000000000000e+05,3.260044008493423462e-02
4.759770000000000000e+05,3.422380238771438599e-02
5.701560000000000000e+05,3.256329149007797241e-02
6.659360000000000000e+05,3.233929723501205444e-02
7.621030000000000000e+05,3.264243528246879578e-02
8.570810000000000000e+05,3.016002662479877472e-02
9.524320000000000000e+05,3.157164901494979858e-02
1.047196000000000000e+06,3.130808472633361816e-02
1.141676000000000000e+06,3.230796754360198975e-02
1.237327000000000000e+06,3.333997353911399841e-02
1.331556000000000000e+06,3.183427453041076660e-02
1.426926000000000000e+06,3.038966469466686249e-02
1.521702000000000000e+06,3.157601878046989441e-02
1.616766000000000000e+06,3.170761466026306152e-02
1.711368000000000000e+06,3.497472777962684631e-02
1.806208000000000000e+06,3.146206587553024292e-02
1.902002000000000000e+06,3.144124895334243774e-02
1.996756000000000000e+06,2.998740412294864655e-02
2.091792000000000000e+06,3.351657465100288391e-02
2.187084000000000000e+06,3.426640853285789490e-02
2.282663000000000000e+06,3.064836189150810242e-02
2.376826000000000000e+06,3.326761722564697266e-02
2.470843000000000000e+06,3.087852150201797485e-02
2.565754000000000000e+06,3.328319266438484192e-02
2.660455000000000000e+06,3.370146453380584717e-02
2.755906000000000000e+06,3.055228292942047119e-02
2.851260000000000000e+06,3.004600666463375092e-02
2.946508000000000000e+06,3.209540992975234985e-02
3.042382000000000000e+06,3.211459144949913025e-02
3.138562000000000000e+06,3.140570595860481262e-02
3.170354000000000000e+06,2.923876792192459106e-02
