# steps, mse
2.550000000000000000e+02,2.424154043197631836e+00
1.377310000000000000e+05,2.256916137412190437e-03
2.772010000000000000e+05,1.939499285072088242e-03
4.152430000000000000e+05,2.515905303880572319e-03
5.528780000000000000e+05,1.515729469247162342e-03
6.918030000000000000e+05,1.663661911152303219e-03
8.289730000000000000e+05,1.048705074936151505e-03
9.664760000000000000e+05,1.933759427629411221e-03
1.104910000000000000e+06,1.777918543666601181e-03
1.242441000000000000e+06,1.438968814909458160e-03
1.380015000000000000e+06,1.493190298788249493e-03
1.518155000000000000e+06,2.004053676500916481e-03
1.655577000000000000e+06,2.278507919982075691e-03
1.793631000000000000e+06,1.698715146631002426e-03
1.931590000000000000e+06,2.258999273180961609e-03
2.068783000000000000e+06,2.043576212599873543e-03
2.207184000000000000e+06,1.681971829384565353e-03
2.344990000000000000e+06,1.593892462551593781e-03
2.483634000000000000e+06,2.322352956980466843e-03
2.622234000000000000e+06,1.723374123685061932e-03
2.759381000000000000e+06,1.415878068655729294e-03
2.896969000000000000e+06,1.193735282868146896e-03
3.034704000000000000e+06,1.203686115331947803e-03
3.173976000000000000e+06,1.535066403448581696e-03
3.312700000000000000e+06,1.678543630987405777e-03
3.449545000000000000e+06,2.645122120156884193e-03
3.586627000000000000e+06,1.511892653070390224e-03
3.726672000000000000e+06,1.386285643093287945e-03
3.865763000000000000e+06,1.423545065335929394e-03
4.003991000000000000e+06,2.330890856683254242e-03
4.141769000000000000e+06,1.353700063191354275e-03
4.278363000000000000e+06,1.357176108285784721e-03
4.417404000000000000e+06,2.233730163425207138e-03
4.554822000000000000e+06,1.770918839611113071e-03
4.600443000000000000e+06,2.273571444675326347e-03
