# steps, mse
4.670000000000000000e+02,3.806038796901702881e-01
4.100900000000000000e+04,3.138808067888021469e-03
8.277800000000000000e+04,1.759070670232176781e-03
1.237930000000000000e+05,1.239340985193848610e-03
1.650600000000000000e+05,9.979631286114454269e-04
2.062690000000000000e+05,8.413363248109817505e-04
2.477690000000000000e+05,9.329244494438171387e-04
2.891820000000000000e+05,1.021286239847540855e-03
3.306390000000000000e+05,1.311366213485598564e-03
3.720200000000000000e+05,8.670816314406692982e-04
4.137710000000000000e+05,4.884608788415789604e-04
4.552750000000000000e+05,1.875018933787941933e-04
4.960940000000000000e+05,9.492498356848955154e-04
5.368040000000000000e+05,2.798606874421238899e-04
5.782340000000000000e+05,5.023960256949067116e-04
6.198920000000000000e+05,5.351697909645736217e-04
6.611860000000000000e+05,2.456385409459471703e-04
7.023810000000000000e+05,1.572563924128189683e-04
7.435880000000000000e+05,2.188461803598329425e-04
7.853870000000000000e+05,1.001813681796193123e-03
8.268730000000000000e+05,1.845557271735742688e-04
8.682370000000000000e+05,1.848880347097292542e-04
9.100810000000000000e+05,1.095795960281975567e-04
9.515840000000000000e+05,1.230100169777870178e-04
9.929960000000000000e+05,1.002611170406453311e-04
1.034144000000000000e+06,9.014715760713443160e-05
1.075336000000000000e+06,1.701627334114164114e-04
1.116606000000000000e+06,7.850326801417395473e-05
1.158019000000000000e+06,7.697873661527410150e-05
1.198693000000000000e+06,5.166643531993031502e-04
1.240358000000000000e+06,7.744375761831179261e-05
1.281881000000000000e+06,1.450489507988095284e-04
1.323650000000000000e+06,8.668824011692777276e-05
1.365420000000000000e+06,2.577094128355383873e-04
1.379142000000000000e+06,1.989457523450255394e-04
