# steps, mse
2.370000000000000000e+02,3.991636931896209717e-01
2.746400000000000000e+04,1.408815267495810986e-03
5.479200000000000000e+04,1.079322653822600842e-03
8.223300000000000000e+04,6.493900436908006668e-04
1.094890000000000000e+05,6.071252282708883286e-04
1.371940000000000000e+05,7.404015050269663334e-04
1.643960000000000000e+05,3.964446368627250195e-04
1.925190000000000000e+05,3.518596349749714136e-04
2.202500000000000000e+05,3.344271972309798002e-04
2.469340000000000000e+05,1.993637561099603772e-04
2.739080000000000000e+05,2.202364994445815682e-04
3.014840000000000000e+05,1.909818092826753855e-04
3.292230000000000000e+05,1.386920775985345244e-04
3.568580000000000000e+05,1.796929427655413747e-04
3.848820000000000000e+05,1.892093714559450746e-04
4.126500000000000000e+05,7.536906923633068800e-05
4.393920000000000000e+05,6.212812877492979169e-05
4.670050000000000000e+05,6.816566019551828504e-05
4.946620000000000000e+05,1.869780680863186717e-04
5.232490000000000000e+05,6.455305265262722969e-05
5.506570000000000000e+05,8.653220720589160919e-05
5.788830000000000000e+05,7.747716881567612290e-05
6.065250000000000000e+05,6.568547541974112391e-05
6.341890000000000000e+05,4.283983071218244731e-05
6.614180000000000000e+05,5.241030157776549459e-05
6.889370000000000000e+05,7.507792906835675240e-05
7.164110000000000000e+05,5.811315713799558580e-05
7.446510000000000000e+05,4.748021456180140376e-05
7.734720000000000000e+05,8.091393829090520740e-05
8.006840000000000000e+05,4.372961484477855265e-05
8.284840000000000000e+05,2.943523941212333739e-05
8.560830000000000000e+05,3.883693352690897882e-05
8.833120000000000000e+05,4.827245356864295900e-05
9.109680000000000000e+05,8.881414396455511451e-05
9.202580000000000000e+05,6.068416041671298444e-05
9.205820000000000000e+05,3.802501305472105742e-05
9.751440000000000000e+05,3.437465784372761846e-05
1.030289000000000000e+06,4.410456167533993721e-04
1.084617000000000000e+06,4.125918349018320441e-05
1.138860000000000000e+06,6.027792187524028122e-05
1.195382000000000000e+06,1.088710541807813570e-05
1.249766000000000000e+06,1.875716952781658620e-05
1.304618000000000000e+06,1.931672522914595902e-05
1.360751000000000000e+06,4.771231397171504796e-05
1.416178000000000000e+06,1.077646084013395011e-05
1.470691000000000000e+06,3.020586336788255721e-05
1.527362000000000000e+06,1.042222629621392116e-05
1.582966000000000000e+06,5.116236934554763138e-05
1.638208000000000000e+06,9.504627996648196131e-06
1.693644000000000000e+06,1.274296209885505959e-05
1.748521000000000000e+06,6.509299055323936045e-06
1.803856000000000000e+06,2.170380321331322193e-05
1.859159000000000000e+06,7.810990064172074199e-05
1.914571000000000000e+06,1.769871014403179288e-04
1.970630000000000000e+06,5.437276558950543404e-05
2.025767000000000000e+06,1.681814501353073865e-05
2.081792000000000000e+06,1.859591975517105311e-05
2.136556000000000000e+06,6.838144145149271935e-06
2.191675000000000000e+06,1.483344567532185465e-05
2.246833000000000000e+06,6.392133855115389451e-06
2.301837000000000000e+06,1.170112682302715257e-05
2.357224000000000000e+06,1.851196975621860474e-05
2.411435000000000000e+06,2.324214801774360240e-05
2.466126000000000000e+06,2.038072489085607231e-05
2.521388000000000000e+06,7.454800197592703626e-06
2.577356000000000000e+06,1.048832564265467227e-05
2.632796000000000000e+06,7.720857865933794528e-06
2.687664000000000000e+06,7.327902039833134040e-06
2.742827000000000000e+06,9.135695108852814883e-06
2.760602000000000000e+06,6.730204859195509925e-06
