# steps, mse
3.270000000000000000e+02,4.071155190467834473e-01
1.386330000000000000e+05,6.850165082141757011e-04
2.770780000000000000e+05,2.379303768975660205e-04
4.142680000000000000e+05,1.607475132914260030e-04
5.533010000000000000e+05,2.072849019896239042e-04
6.906530000000000000e+05,6.098507583374157548e-05
8.273740000000000000e+05,1.000560223474167287e-04
9.658510000000000000e+05,1.011626372928731143e-04
1.104491000000000000e+06,3.883804674842394888e-05
1.242913000000000000e+06,8.169162902049720287e-05
1.381113000000000000e+06,2.317006510565988719e-05
1.519736000000000000e+06,1.847850035119336098e-05
1.657036000000000000e+06,2.944552397821098566e-05
1.793211000000000000e+06,2.505910015315748751e-05
1.930755000000000000e+06,2.525824857002589852e-05
2.070334000000000000e+06,1.532912574475631118e-04
2.207952000000000000e+06,3.664387622848153114e-05
2.346788000000000000e+06,1.029674695018911734e-05
2.484737000000000000e+06,1.075994168786564842e-05
2.621986000000000000e+06,6.365601166180567816e-06
2.759701000000000000e+06,4.147411527810618281e-05
2.896335000000000000e+06,5.437851541501004249e-06
3.035350000000000000e+06,6.372357802320038900e-06
3.174752000000000000e+06,5.277453510643681511e-06
3.311749000000000000e+06,4.574675585899967700e-06
3.450519000000000000e+06,7.663888936804141849e-06
3.588260000000000000e+06,1.282644916500430554e-05
3.728209000000000000e+06,7.747209747321903706e-05
3.866225000000000000e+06,6.613640380237484351e-06
4.003633000000000000e+06,3.231453320040600374e-06
4.141057000000000000e+06,2.750757630565203726e-06
4.278964000000000000e+06,3.874629328493028879e-06
4.418422000000000000e+06,8.620978405815549195e-06
4.555685000000000000e+06,2.621773637656588107e-05
4.601824000000000000e+06,3.673563332995399833e-05
